ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"139.59.90.148","elite","AS14061","IN","DIGITALOCEAN","207","DigitalOcean, LLC","57592","socks4","3896","1","2024-01-08T16:39:18.547Z","100","5616","5619"
"183.89.63.31","elite","AS45629","TH","Triple T Broadband Public Company Limited","153","Triple T Broadband Public Company Limited","8080","socks4","4600","1","2024-01-08T16:39:18.237Z","95","5298","5580"
"46.227.37.1","elite","AS51155","PL","Telemedian - TB Telecom","92","Telemedian","1088","socks4","4896","1","2024-01-08T16:39:18.544Z","100","5601","5617"
"103.47.93.252","elite","AS134058","IN","Broban Internet Services Pvt.ltd","259","Broban  PVT Ltd.","1080","socks4","5205","1","2024-01-08T16:39:17.030Z","99","5429","5469"
"103.47.94.97","elite","AS134058","IN","Broban Internet Services Pvt.ltd","283","Broban  PVT Ltd.","1080","socks4","4403","1","2024-01-08T16:39:17.033Z","99","5568","5607"
"103.47.93.211","elite","AS134058","IN","Broban Internet Services Pvt.ltd","258","Broban  PVT Ltd.","1080","socks4","4800","1","2024-01-08T16:39:17.032Z","99","5508","5555"
"104.17.9.114","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4604","1","2024-01-08T16:39:17.439Z","100","5574","5575"
"147.182.239.59","elite","AS14061","US","DigitalOcean, LLC","159","DigitalOcean, LLC","2990","socks4","4991","1","2024-01-08T16:39:14.339Z","83","4603","5571"
"110.78.164.188","elite","AS131090","TH","CAT-BB","196","N/A","4153","socks4","4800","1","2024-01-08T16:39:14.338Z","66","3690","5625"
"104.20.233.70","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4481","1","2024-01-08T16:39:12.434Z","100","5572","5574"
"51.77.65.164","elite","AS16276","DE","OVH SAS","11","OVH GmbH","31979","socks4","5288","1","2024-01-08T16:39:12.444Z","100","5562","5566"
"185.169.181.16","elite","AS34984","TR","Ates Dc","100","Ibrahim MALA trading as Ates Dc","4145","socks4","2291","1","2024-01-08T16:39:12.442Z","99","5454","5489"
"103.242.104.243","elite","AS58821","ID","PT Lintas Jaringan Nusantara","193","PT Lintas Jaringan Nusantara","5678","socks4","4902","1","2024-01-08T16:39:12.130Z","99","5525","5590"
"154.113.161.129","elite","AS37282","NG","Mainone Cable Company","192","Mainone Cable Company","5678","socks4","4202","1","2024-01-08T16:39:12.134Z","100","5533","5543"
"159.223.173.237","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","12057","socks5","3602","1","2024-01-08T16:39:12.132Z","87","4819","5538"
"213.149.103.133","elite","AS8585","ME","Crnogorski Telekom a.d.Podgorica","43","T ComServeri","61859","socks5","4788","1","2024-01-08T16:39:12.445Z","100","5573","5582"
"91.185.236.239","elite","AS21487","RU","Sakhatelecom","197","N/A","4145","socks4","4314","1","2024-01-08T16:39:10.529Z","95","5260","5555"
"222.186.50.204","elite","AS4134","CN","Chinanet","214","Chinanet JS","1080","socks5","4987","81","2024-01-08T16:39:10.929Z","88","4827","5502"
"171.247.168.5","elite","AS7552","VN","Viettel Corporation","395","VIETEL","1080","socks4","3989","1","2024-01-08T16:39:10.531Z","74","4043","5465"
"110.42.246.153","elite","AS45090","CN","China Internet Network Information Center","285","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","5012","1","2024-01-08T16:39:10.527Z","33","1837","5591"
"119.91.35.77","elite","AS45090","CN","China Internet Network Information Center","213","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","1396","1","2024-01-08T16:39:09.130Z","32","1779","5591"
